id_label,id_version,name,family,is_ref,status,year,is_by,is_sa,is_salink,is_nd,is_noreuse,is_generic,domain_content,domain_data,domain_software,od_conformance,osd_conformance,maintainer,title,url,NOTES
aal,,AAL,,,active,,,,,,,,,,1,not reviewed,approved,,Attribution Assurance Licenses,http://www.opensource.org/licenses/AAL,
afl,3.0,AFL-3.0,,,active,2002,,,0,0,,,1,,1,not reviewed,approved,Lawrence Rosen,Academic Free License 3.0,http://www.opensource.org/licenses/AFL-3.0,
against-drm,,Against-DRM,by-sa-x,1,active,,1,1,,0,0,,1,,,approved,not reviewed,,Against DRM,http://www.opendefinition.org/licenses/against-drm,
agpl,3.0,AGPL-3.0,by-nc-sa-x,0,active,2007,,,1,0,0,,,,1,not reviewed,approved,Free Software Foundation,GNU Affero General Public License v3,http://www.opensource.org/licenses/AGPL-3.0,
apache,1.1,Apache-1.1,,,retired,2004,1,0,0,0,0,,,,1,not reviewed,approved,Apache Foundation,Apache Software License 1.1,http://www.opensource.org/licenses/Apache-1.1,
apache,2.0,Apache-2.0,,1,active,,1,0,,,0,,,,1,not reviewed,approved,Apache Foundation,Apache Software License 2.0,http://www.opensource.org/licenses/Apache-2.0,
apl,1.0,APL-1.0,,,active,,,,,,,,,,1,not reviewed,approved,,Adaptive Public License 1.0,http://www.opensource.org/licenses/APL-1.0,
apsl,2.0,APSL-2.0,,,active,2003,,,0,,1,,,,1,not reviewed,approved,Apple Computer,Apple Public Source License 2.0,http://www.opensource.org/licenses/APSL-2.0,
artistic,2.0,Artistic-2.0,,,active,2000,,,1,0,0,,,,1,not reviewed,approved,Perl Foundation,Artistic License 2.0,http://www.opensource.org/licenses/Artistic-2.0,
bittorrent,1.1,BitTorrent-1.1,,,active,,,,,,,,,,1,not reviewed,not reviewed,,BitTorrent Open Source License 1.1,https://spdx.org/licenses/BitTorrent-1.1,
bsd-clause,2,BSD-2-Clause,,,active,,,,,,,,,,1,not reviewed,approved,FreeBSD Foundation,"BSD 2-Clause ""Simplified"" or ""FreeBSD"" License (BSD-2-Clause)",http://www.opensource.org/licenses/BSD-2-Clause,
bsd-clause,3,BSD-3-Clause,,,active,,,,0,0,,,,,1,not reviewed,approved,FreeBSD Foundation,"BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",http://www.opensource.org/licenses/BSD-3-Clause,
bsl,1.0,BSL-1.0,,,active,2003,,,0,0,,,,,1,not reviewed,approved,,Boost Software License 1.0,http://www.opensource.org/licenses/BSL-1.0,
catosl,1.1,CATOSL-1.1,,,active,,,,,,,,,,1,not reviewed,approved,,Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),http://www.opensource.org/licenses/CATOSL-1.1,
cc-by,2.0,CC-BY-2.0,by,0,active,,1,0,,0,0,,1,1,,approved,not reviewed,Creative Commons,Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0/,
cc-by,3.0,CC-BY-3.0,by,2,active,2009,1,0,,0,0,,1,1,,approved,not reviewed,Creative Commons,Creative Commons Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
cc-by,4.0,CC-BY-4.0,by,0,active,,1,0,,0,0,,1,1,,approved,not reviewed,Creative Commons,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/ ,
cc-by-nc,3.0,CC-BY-NC-3.0,by-nc,2,active,,1,0,,,0,,1,1,,rejected,not reviewed,Creative Commons,Creative Commons Attribution-NonCommercial 3.0,https://creativecommons.org/licenses/by-nc/3.0/,
cc-by-nc,4.0,CC-BY-NC-4.0,by-nc,0,active,,1,0,,,0,,1,1,,rejected,not reviewed,Creative Commons,Creative Commons Attribution-NonCommercial 4.0,https://creativecommons.org/licenses/by-nc/4.0/,
cc-by-nc-nd,3.0,CC-BY-NC-ND-3.0,by-nc-nd,2,active,,1,0,,1,0,,1,,,rejected,,Creative Commons,Creative Commons Attribution + Noncommercial + NoDerivatives 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode,
cc-by-nc-nd,4.0,CC-BY-NC-ND-4.0,by-nc-nd,0,active,,1,0,,1,0,,1,,,rejected,,Creative Commons,Creative Commons Attribution + Noncommercial + NoDerivatives 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,
cc-by-nc-sa,3.0,CC-BY-NC-SA-3.0,by-nc-sa,2,active,,1,0,,,0,,1,,,rejected,,Creative Commons,Creative Commons Attribution + Noncommercial + ShareAlike 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode,
cc-by-nc-sa,4.0,CC-BY-NC-SA-4.0,by-nc-sa,0,active,,1,0,,,0,,1,,,rejected,,Creative Commons,Creative Commons Attribution + Noncommercial + ShareAlike 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode,
cc-by-nd,3.0,CC-BY-ND-3.0,by-nd,2,active,,1,0,,1,0,,1,,,rejected,,Creative Commons,Creative Commons Attribution + NoDerivatives 4.0,https://creativecommons.org/licenses/by-nd/4.0/legalcode,
cc-by-nd,4.0,CC-BY-ND-4.0,by-nd,0,active,,1,0,,1,0,,1,,,rejected,,Creative Commons,Creative Commons Attribution + NoDerivatives 4.0,https://creativecommons.org/licenses/by-nd/4.0/legalcode,
cc-by-sa,2.0,CC-BY-SA-2.0,by-sa,0,active,,1,1,,0,0,,1,1,,approved,not reviewed,Creative Commons,Creative Commons Attribution Share-Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0/,
cc-by-sa,3.0,CC-BY-SA-3.0,by-sa,2,active,,1,1,,0,0,,1,1,,approved,not reviewed,Creative Commons,Creative Commons Attribution Share-Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0/,
